addresses_roadtype_name,addresses_end_street_number,geo_epgs_4326_lon,values_attribute_name,estimated_dates,addresses_road_name,values_category,addresses_zip_code,secondary_filters_id,values_value,addresses_town,secondary_filters_name,timetable,secondary_filters_tree,start_date,addresses_district_name,end_date,geo_epgs_25831_x,addresses_start_street_number,register_id,institution_id,addresses_main_address,addresses_district_id,addresses_roadtype_id,addresses_type,addresses_neighborhood_id,_id,name,addresses_road_id,created,geo_epgs_25831_y,institution_name,modified,secondary_filters_asia_id,secondary_filters_fullpath,geo_epgs_4326_lat,values_description,values_id,addresses_neighborhood_name,values_outstanding,values_attribute_id
,,2.11854914217901,Tel.,,C Ramon Miquel i Planas,Telèfons,8034,57345754,932036079,BARCELONA,Instal·lacions esportives,,651,,Sarrià-Sant Gervasi,,426318.4848299515,38,﻿92086022106,92168172730,True,5,,,23,12,Pista Bàsquet,275202,1987-07-17T00:00:00,4583561.2755734045,Instal.lacions Esportives Sarria,2025-04-15T16:44:01.538341,65102004002,Planol BCN >> Esports >> Instal·lacions esportives,41.400216594839556,,166413,Sarrià,True,20001
,,2.147158169831797,Tel.,,Pg Vall d'Hebron,Telèfons,8035,57731070,934280667,BARCELONA,Frontennis,,651,,Horta-Guinardó,,428748.82438690326,171,﻿93179133715,99400110854,True,7,,,40,13,Frontó,352507,1993-06-28T00:00:00,4587482.826868194,Centre Esportiu Municipal Mundet,2015-01-29T14:23:59,65103004000002,Planol BCN >> Esports >> Esports d'equip >> Frontennis,41.43575541409688,,174871,Montbau,True,20001
,,2.147158169831797,Tel.,,Pg Vall d'Hebron,Telèfons,8035,57732077,934280667,BARCELONA,Altres esports,,651,,Horta-Guinardó,,428748.82438690326,171,﻿93179133715,99400110854,True,7,,,40,14,Frontó,352507,1993-06-28T00:00:00,4587482.826868194,Centre Esportiu Municipal Mundet,2015-01-29T14:23:59,65103004001009,Planol BCN >> Esports >> Esports individuals >> Altres esports,41.43575541409688,,174871,Montbau,True,20001
,,2.147158169831797,Tel.,,Pg Vall d'Hebron,Telèfons,8035,57345754,934280667,BARCELONA,Instal·lacions esportives,,651,,Horta-Guinardó,,428748.82438690326,171,﻿93179133715,99400110854,True,7,,,40,15,Frontó,352507,1993-06-28T00:00:00,4587482.826868194,Centre Esportiu Municipal Mundet,2015-01-29T14:23:59,65102004002,Planol BCN >> Esports >> Instal·lacions esportives,41.43575541409688,,174871,Montbau,True,20001
,,2.147158169831797,Tel.,,Pg Vall d'Hebron,Telèfons,8035,57731072,934280667,BARCELONA,Futbol,,651,,Horta-Guinardó,,428748.82438690326,171,﻿93179133807,99400110854,True,7,,,40,16,Camp de Futbol,352507,1993-06-28T00:00:00,4587482.826868194,Centre Esportiu Municipal Mundet,2016-04-11T17:53:55,65103004000004,Planol BCN >> Esports >> Esports d'equip >> Futbol,41.43575541409688,,174872,Montbau,True,20001
,,2.147158169831797,Tel.,,Pg Vall d'Hebron,Telèfons,8035,57732077,934280667,BARCELONA,Altres esports,,651,,Horta-Guinardó,,428748.82438690326,171,﻿93179133807,99400110854,True,7,,,40,17,Camp de Futbol,352507,1993-06-28T00:00:00,4587482.826868194,Centre Esportiu Municipal Mundet,2016-04-11T17:53:55,65103004001009,Planol BCN >> Esports >> Esports individuals >> Altres esports,41.43575541409688,,174872,Montbau,True,20001
,,2.147158169831797,Tel.,,Pg Vall d'Hebron,Telèfons,8035,57345754,934280667,BARCELONA,Instal·lacions esportives,,651,,Horta-Guinardó,,428748.82438690326,171,﻿93179133807,99400110854,True,7,,,40,18,Camp de Futbol,352507,1993-06-28T00:00:00,4587482.826868194,Centre Esportiu Municipal Mundet,2016-04-11T17:53:55,65102004002,Planol BCN >> Esports >> Instal·lacions esportives,41.43575541409688,,174872,Montbau,True,20001
,,2.182714956455826,Tel.,,C Rosselló i Porcel,Telèfons,8016,57731068,932760480,BARCELONA,Bàsquet,,651,,Nou Barris,,431719.03357777355,7,﻿93313132345,92086032989,True,8,,,45,19,Pistes Poliesportives,289852,1993-11-09T00:00:00,4587408.66920298,Centre Esportiu Municipal Can Dragó,2016-11-04T10:33:01,65103004000000,Planol BCN >> Esports >> Esports d'equip >> Bàsquet,41.43534554608708,CEM Can Dragó,174634,Porta,True,20001
,,2.182714956455826,Tel.,,C Rosselló i Porcel,Telèfons,8016,57731071,932760480,BARCELONA,Futbol sala,,651,,Nou Barris,,431719.03357777355,7,﻿93313132345,92086032989,True,8,,,45,20,Pistes Poliesportives,289852,1993-11-09T00:00:00,4587408.66920298,Centre Esportiu Municipal Can Dragó,2016-11-04T10:33:01,65103004000003,Planol BCN >> Esports >> Esports d'equip >> Futbol sala,41.43534554608708,CEM Can Dragó,174634,Porta,True,20001
,,2.182714956455826,Tel.,,C Rosselló i Porcel,Telèfons,8016,57732077,932760480,BARCELONA,Altres esports,,651,,Nou Barris,,431719.03357777355,7,﻿93313132345,92086032989,True,8,,,45,21,Pistes Poliesportives,289852,1993-11-09T00:00:00,4587408.66920298,Centre Esportiu Municipal Can Dragó,2016-11-04T10:33:01,65103004001009,Planol BCN >> Esports >> Esports individuals >> Altres esports,41.43534554608708,CEM Can Dragó,174634,Porta,True,20001
